words,counts
BMI-adjusted hip circumference,79
phenotypes body height,78
BMI-adjusted waist-hip ratio,76
BMI-adjusted waist circumference,73
systolic blood pressure,59
appendicular lean mass,56
diastolic blood pressure,39
total cholesterol measurement,34
gut microbiome measurement,32
waist-hip ratio BMI-adjusted,31
HDL cholesterol measurement,30
Phenotypes body height,30
type diabetes mellitus,27
LDL cholesterol measurement,27
body mass index,25
body height appendicular,20
height appendicular lean,20
hip circumference BMI-adjusted,20
waist circumference BMI-adjusted,19
measurement total cholesterol,17
Phenotypes type diabetes,15
circumference BMI-adjusted hip,15
body height BMI-adjusted,15
blood pressure BMI-adjusted,15
phenotypes type diabetes,15
body height body,14
lean mass body,14
hip circumference body,14
phenotypes triglyceride measurement,13
body height BMI,13
cholesterol measurement BMI-adjusted,13
ratio BMI-adjusted waist-hip,13
phenotypes gut microbiome,13
cholesterol measurement total,13
phenotypes systolic blood,13
measurement type diabetes,13
lean mass BMI-adjusted,13
bone mineral density,13
body fat percentage,12
body weight body,12
circumference BMI-adjusted waist-hip,12
ratio BMI-adjusted waist,12
blood pressure diastolic,11
circumference BMI-adjusted waist,11
pressure diastolic blood,11
adolescent idiopathic scoliosis,11
cholesterol measurement body,11
circumference waist-hip ratio,11
body fat distribution,11
phenotypes appendicular lean,11
coronary artery disease,11
circumference systolic blood,11
measurement BMI-adjusted waist,11
lean body mass,11
measurement HDL cholesterol,10
waist-hip ratio body,10
measurement BMI-adjusted hip,10
ratio waist-hip ratio,10
waist-hip ratio waist-hip,10
phenotypes HDL cholesterol,10
phenotypes BMI-adjusted waist-hip,9
Phenotypes BMI-adjusted waist-hip,9
hip circumference systolic,9
measurement triglyceride measurement,9
height body weight,9
pressure BMI-adjusted hip,9
blood glucose measurement,8
mass BMI-adjusted hip,8
measurement systolic blood,8
phenotypes diastolic blood,8
body BMI-adjusted hip,8
fat body mass,8
blood pressure BMI,8
height BMI-adjusted hip,8
low density lipoprotein,8
Phenotypes body mass,8
height systolic blood,8
measurement BMI-adjusted waist-hip,8
body height systolic,8
waist circumference waist-hip,7
cholesterol measurement triglyceride,7
measurement body height,7
body height gut,7
phenotypes BMI-adjusted waist,7
height gut microbiome,7
blood pressure body,7
phenotypes BMI body,7
activity Phenotypes body,7
binding activity Phenotypes,7
waist circumference body,7
circumference type diabetes,6
measurement waist circumference,6
ratio type diabetes,6
waist circumference type,6
triglyceride measurement BMI-adjusted,6
diabetes mellitus body,6
triglyceride measurement body,6
fatty acid measurement,6
binding activity phenotypes,6
ratio BMI-adjusted hip,6
waist-hip ratio type,6
cholesterol measurement type,6
cholesterol measurement systolic,6
triglyceride measurement HDL,6
amino acids phenotypes,6
Phenotypes body weight,6
circumference LDL cholesterol,6
keratin gene family,6
waist-hip ratio appendicular,6
measurement LDL cholesterol,6
ratio appendicular lean,6
circumference diastolic blood,5
member keratin gene,5
pressure type diabetes,5
body BMI-adjusted waist,5
blood pressure appendicular,5
waist-hip ratio Encodes,5
transmembrane transporter activity,5
inflammatory bowel disease,5
mass BMI-adjusted waist,5
circumference body fat,5
ratio Encodes protein,5
blood pressure type,5
pressure appendicular lean,5
measurement diastolic blood,5
waist-hip ratio BMI,5
Phenotypes adolescent idiopathic,5
measurement fatty acid,5
measurement gut microbiome,5
type diabetes BMI-adjusted,5
height BMI-adjusted waist,5
BMI BMI-adjusted waist,5
height type diabetes,5
lipoprotein cholesterol measurement,5
activity phenotypes body,5
body height type,5
mass body height,5
type diabetes systolic,4
hemoglobin A1 measurement,4
height waist-hip ratio,4
circumference appendicular lean,4
glomerular filtration rate,4
type diabetes body,4
diabetes systolic blood,4
circumference body weight,4
RNA polymerase II,4
acids phenotypes body,4
plays important role,4
mass body weight,4
