words,counts
measurement,427
body,193
BMI-adjusted,164
carcinoma,159
disease,139
circumference,131
phenotypes,124
pressure,118
Phenotypes,109
blood,101
protein,95
cholesterol,94
height,92
Diseases,92
mass,83
ratio,81
waist-hip,73
waist,71
hip,68
density,68
diabetes,60
type,59
cell,58
lean,55
activity,49
role,49
cancer,48
disorder,48
bone,47
mean,47
gene,45
systolic,44
appendicular,41
rate,36
triglyceride,36
BMI,36
weight,34
diastolic,34
Syndrome,34
Encodes,33
artery,32
mineral,31
syndrome,31
breast,31
mellitus,30
lung,30
microbiome,30
coronary,29
gut,28
total,28
Type,27
prostate,26
acid,25
glomerular,25
corpuscular,25
schizophrenia,25
filtration,24
family,24
index,24
member,23
hemoglobin,23
membrane,22
colorectal,22
leukemia,21
myeloid,21
encodes,21
bipolar,21
calcium,21
fatty,21
HDL,20
cells,20
asthma,19
Disease,19
count,19
binding,19
acute,19
function,19
arterial,19
ovarian,19
fat,18
thyroid,18
volume,18
LDL,18
lipoprotein,18
Crohn,18
lupus,17
heart,17
squamous,17
factor,17
receptor,17
cognitive,17
complex,17
systemic,16
subunit,16
RNA,16
erythematosus,16
DNA,16
interval,16
Deficiency,16
multiple,16
Autosomal,16
stroke,15
proteins,15
system,15
colitis,14
ulcerative,14
pancreatic,14
inflammatory,14
autoimmune,14
regulation,14
[,14
],14
chronic,14
negative,13
glucose,13
thickness,13
corneal,13
high,13
hormone,13
hair,13
bowel,13
skin,13
liver,13
osteoarthritis,13
transcription,13
Enables,12
non-melanoma,12
measurment,12
II,12
enzyme,12
alcohol,12
response,12
platelet,12
central,12
mitochondrial,12
distribution,12
depression,12
unipolar,12
Recessive,12
pulse,11
formation,11
degeneration,11
Alzheimer,11
hypothyroidism,11
neoplasm,11
region,11
idiopathic,11
important,11
metabolism,11
cortical,11
adenocarcinoma,11
infection,11
Congenital,11
PR,11
autism,11
capacity,11
chromosome,11
chains,10
growth,10
transport,10
macular,10
signal,10
development,10
acids,10
component,10
spectrum,10
vital,10
acts,10
sclerosis,10
arthritis,10
sex,10
keratin,10
low,10
metabolic,10
basal,10
process,9
pathway,9
infarction,9
Disorder,9
channel,9
differentiation,9
transduction,9
use,9
cardiac,9
size,9
deficit,9
attention,9
hyperactivity,9
polymerase,9
chain,9
essential,9
keratinocyte,9
melanoma,9
regulatory,8
concentration,8
atrial,8
fibroid,8
major,8
virus,8
substrates,8
uterine,8
B,8
Myopathy,8
hypertension,8
specific,8
Protein,8
catalyzes,8
myosin,8
tract,8
duration,8
scoliosis,8
functions,8
globulin,8
hormone-binding,8
tissue,8
cardiovascular,8
force,8
part,8
several,7
adolescent,7
tissues,7
Dysplasia,7
Cancer,7
muscle,7
Autism,7
birth,7
A1,7
beta,7
peripheral,7
processes,7
fibrillation,7
repair,7
status,7
resistance,7
lipid,7
alpha,7
